date,prod
2015-07-01,338.58
2015-07-02,339.75
2015-07-03,349.65
2015-07-04,357.48
2015-07-05,344.16
2015-07-06,345.06
2015-07-07,344.07
2015-07-08,341.28
2015-07-09,327.24
2015-07-10,335.97
2015-07-11,333.63
2015-07-12,336.33
2015-07-13,328.59
2015-07-14,346.41
2015-07-15,359.91
2015-07-16,358.83
2015-07-17,376.02
2015-07-18,384.39
2015-07-19,383.85
2015-07-20,380.07
2015-07-21,389.07
2015-07-22,382.86
2015-07-23,381.78
2015-07-24,395.28
2015-07-25,397.26
2015-07-26,384.93
2015-07-27,376.92
2015-07-28,376.92
2015-07-29,373.59
2015-07-30,380.79
2015-07-31,373.32
2015-08-01,371.34
2015-08-02,372.96
2015-08-03,373.5
2015-08-04,371.16
2015-08-05,374.13
2015-08-06,372.15
2015-08-07,368.91
2015-08-08,371.43
2015-08-09,325.62
2015-08-10,330.39
2015-08-11,331.83
2015-08-12,357.21
2015-08-13,354.51
2015-08-14,358.2
2015-08-15,357.03
2015-08-16,344.7
2015-08-17,342.72
2015-08-18,341.1
2015-08-19,329.4
2015-08-20,335.16
2015-08-21,331.11
2015-08-22,330.75
2015-08-23,328.14
2015-08-24,329.85
2015-08-25,320.67
2015-08-26,319.41
2015-08-27,321.93
2015-08-28,311.04
2015-08-29,311.58
2015-08-30,312.93
2015-08-31,305.64
2015-09-01,298.35
2015-09-02,305.64
2015-09-03,297
2015-09-04,290.25
2015-09-05,288.81
2015-09-06,294.75
2015-09-07,291.24
2015-09-08,288.54
2015-09-09,288.54
2015-09-10,288.99
2015-09-11,286.47
2015-09-12,290.61
2015-09-13,285.57
2015-09-14,280.8
2015-09-15,276.75
2015-09-16,279
2015-09-17,270
2015-09-18,273.06
2015-09-19,271.17
2015-09-20,266.04
2015-09-21,267.03
2015-09-22,270.45
2015-09-23,256.14
2015-09-24,263.34
2015-09-25,249.12
2015-09-26,229.86
2015-09-27,239.58
2015-09-28,244.44
2015-09-29,243.9
2015-09-30,241.65
2015-10-01,254.97
2015-10-02,263.52
2015-10-03,261.18
2015-10-04,265.77
2015-10-05,254.16
2015-10-06,254.34
2015-10-07,258.03
2015-10-08,259.2
2015-10-09,261.09
2015-10-10,260.1
2015-10-11,263.79
2015-10-12,263.16
2015-10-13,263.88
2015-10-14,260.64
2015-10-15,255.33
2015-10-16,257.04
2015-10-17,247.41
2015-10-18,239.4
2015-10-19,246.87
2015-10-20,242.91
2015-10-21,239.67
2015-10-22,242.46
2015-10-23,247.05
2015-10-24,248.13
2015-10-25,234.54
2015-10-26,233.64
2015-10-27,234.27
2015-10-28,236.07
2015-10-29,237.24
2015-10-30,235.53
2015-10-31,224.82
2015-11-01,233.1
2015-11-02,229.86
2015-11-03,235.62
2015-11-04,238.23
2015-11-05,235.8
2015-11-06,235.71
2015-11-07,239.67
2015-11-08,234.27
2015-11-09,243.36
2015-11-10,234.36
2015-11-11,218.52
2015-11-12,224.37
2015-11-13,228.51
2015-11-14,228.51
2015-11-15,234.45
2015-11-16,230.67
2015-11-17,194.49
2015-11-18,233.91
2015-11-19,219.87
2015-11-20,228.15
2015-11-21,232.83
2015-11-22,229.05
2015-11-23,228.87
2015-11-24,233.64
2015-11-25,234
2015-11-26,234.99
2015-11-27,231.93
2015-11-28,232.92
2015-11-29,234.45
2015-11-30,233.46
2015-12-01,221.4
2015-12-02,223.83
2015-12-03,215.82
2015-12-04,212.04
2015-12-05,207.18
2015-12-06,208.26
2015-12-07,207.72
2015-12-08,202.41
2015-12-09,201.96
2015-12-10,206.28
2015-12-11,211.5
2015-12-12,205.83
2015-12-13,195.39
2015-12-14,190.8
2015-12-15,196.92
2015-12-16,201.51
2015-12-17,196.2
2015-12-18,185.4
2015-12-19,187.74
2015-12-20,191.52
2015-12-21,189.9
2015-12-22,191.25
2015-12-23,187.02
2015-12-24,189.63
2015-12-25,189
2015-12-26,186.93
2015-12-27,193.05
2015-12-28,185.22
2015-12-29,185.76
2015-12-30,180.72
2015-12-31,166.05
2016-01-01,175.59
2016-01-02,179.64
2016-01-03,176.58
2016-01-04,177.93
2016-01-05,175.05
2016-01-06,176.04
