date,oil,water
1990-08-29,52.9,1065.25
1990-08-30,66.1,1548.1
1990-08-31,85.35,1654.45
1990-09-01,79.95,1686.05
1990-09-02,84.15,1791.65
1990-09-03,88.95,1959.15
1990-09-04,99.65,2136.4
1990-09-05,111.7,2167.95
1990-09-06,113.8,2185.25
1990-09-07,112.55,2169.75
1990-09-08,111.95,2191.95
1990-09-09,111.5,2195.55
1990-09-10,109.8,2197.3
1990-09-11,108.15,2202.5
1990-09-12,106.6,2185.7
1990-09-13,106.7,2193.35
1990-09-14,103.1,2197.2
1990-09-15,102.05,2190.65
1990-09-16,101.9,2198.6
1990-09-17,101.3,2196.3
1990-09-18,99.45,2191.95
1990-09-19,99.55,2188.9
1990-09-20,100.1,2185.8
1990-09-21,98.55,2189
1990-09-22,98.25,2186.15
1990-09-23,98.5,2192.55
1990-09-24,97.8,2193.75
1990-09-25,97.6,2195.45
1990-09-26,97.5,2194.55
1990-09-27,97.25,2195.4
1990-09-28,97.15,2193.85
1990-09-29,97.05,2195.6
1990-09-30,96.7,2195
1990-10-01,96.4,2193.1
1990-10-02,95.85,2196
1990-10-03,94.9,2194.8
1990-10-04,95,2197.25
1990-10-05,94.3,2176.35
1990-10-06,94.45,2199.85
1990-10-07,94.8,2201.3
1990-10-08,94.75,2200.3
1990-10-09,95.35,2197.15
1990-10-10,95,2195.1
1990-10-11,94.65,2196.65
1990-10-12,95.45,2196.85
1990-10-13,96.1,2196.75
1990-10-14,96.05,2196.6
1990-10-15,96,2199
1990-10-16,95.5,2198.4
1990-10-17,95.25,2199.75
1990-10-18,95.15,2198.75
1990-10-19,94.95,2201.35
1990-10-20,94.8,2200.25
1990-10-21,94.75,2200.75
1990-10-22,94.6,2202
1990-10-23,94.6,2200.7
1990-10-24,94.6,2202.35
1990-10-25,94.5,2202.35
1990-10-26,94.15,2202.95
1990-10-27,94.45,2201.85
1990-10-28,94.55,2201.45
1990-10-29,94.55,2201.65
1990-10-30,94.8,2198.5
1990-10-31,95.7,2198.15
1990-11-01,95.15,2198.3
